Job Role,Company,Experience Level,Location,Skills,Job Type,Work Mode,Salary Range,Job Posting Date,Min Salary (LPA),Max Salary (LPA)
Data Analyst,"Mann, Hughes And Mccall",Internship,Mumbai,"r, python, powerbi",Contract,Remote,12-32 LPA,2025-02-25,12.0,32.0
Senior Data Analyst,"Chaney, Ward And Wolfe",Entry Level,Mumbai,"python, sql, powerbi",Internship,Hybrid,3-23 LPA,2024-12-20,3.0,23.0
Senior Data Analyst,"Osborne, Brown And Rodriguez",Senior Level,Pune,"excel, powerbi, google cloud, python",Part-Time,On-Site,14-25 LPA,2025-07-25,14.0,25.0
Data Analytics Specialist,"Lucas, Edwards And Hunter",Entry Level,Kolkata,"machine learning, r, google colab",Internship,Hybrid,7-16 LPA,2025-07-18,7.0,16.0
Data Analyst,"Miller, Rose And Evans",Senior Level,New Delhi,"python, sql, tableau, google colab, powerbi, powerbi",Contract,Remote,11-27 LPA,2025-04-29,11.0,27.0
Data Analyst,Hernandez Plc,Senior Level,Pune,"python, powerbi, tableau, powerbi, r, google colab",Full-Time,Remote,5-26 LPA,2024-10-25,5.0,26.0
Senior Data Analyst,Johnson-Knight,Senior Level,Chennai,"powerbi, powerbi, sql, google cloud, excel, tableau",Full-Time,Hybrid,8-16 LPA,2024-12-20,8.0,16.0
Senior Data Analyst,Hernandez-Watson,Entry Level,Hyderabad,"excel, sql, google cloud",Full-Time,On-Site,12-35 LPA,2025-04-22,12.0,35.0
Data Analytics Specialist,"Green, Jones And Fitzpatrick",Senior Level,Kolkata,"google colab, powerbi, machine learning, python, r, sql",Contract,On-Site,14-25 LPA,2024-12-24,14.0,25.0
Senior Data Analyst,Parker-Ewing,Entry Level,Bangalore,"powerbi, google colab, machine learning, excel",Part-Time,Remote,12-27 LPA,2024-11-03,12.0,27.0
Data Analyst,"Fitzpatrick, Nelson And Pierce",Senior Level,Kolkata,"powerbi, google cloud, r, machine learning",Full-Time,Hybrid,4-17 LPA,2024-10-08,4.0,17.0
Data Analytics Specialist,Matthews-Bernard,Internship,Remote,"google cloud, r, powerbi",Part-Time,On-Site,14-23 LPA,2024-12-31,14.0,23.0
Junior Data Analyst,"Green, Thompson And Murphy",Senior Level,Chennai,"google colab, google cloud, powerbi",Internship,Hybrid,10-35 LPA,2024-08-31,10.0,35.0
Junior Data Analyst,Roach-Taylor,Mid Level,Hyderabad,"google cloud, sql, powerbi",Part-Time,On-Site,9-19 LPA,2024-11-14,9.0,19.0
Data Analytics Specialist,"Lee, Jackson And Hunt",Entry Level,Pune,"google colab, tableau, r",Contract,Remote,12-22 LPA,2024-09-30,12.0,22.0
Senior Data Analyst,"Parker, Kelly And Thomas",Internship,Chennai,"google colab, powerbi, r, powerbi, machine learning",Internship,Remote,3-30 LPA,2025-03-26,3.0,30.0
Junior Data Analyst,Rodriguez-Warren,Senior Level,Mumbai,"excel, sql, powerbi, google colab, powerbi, powerbi",Part-Time,Remote,10-21 LPA,2025-03-14,10.0,21.0
Junior Data Analyst,Woods And Sons,Mid Level,Hyderabad,"machine learning, r, tableau, sql, python",Contract,Remote,12-19 LPA,2025-02-14,12.0,19.0
Junior Data Analyst,Castro-Manning,Mid Level,Bangalore,"google colab, google cloud, powerbi, excel, powerbi, powerbi",Contract,Remote,14-32 LPA,2025-05-02,14.0,32.0
Junior Data Analyst,Hicks Inc,Mid Level,Chennai,"powerbi, tableau, python",Contract,Hybrid,13-35 LPA,2025-05-02,13.0,35.0
Senior Data Analyst,Garcia-Sherman,Entry Level,Hyderabad,"powerbi, google colab, machine learning, sql, google cloud",Contract,On-Site,9-28 LPA,2025-01-05,9.0,28.0
Data Analytics Specialist,Rosario-Deleon,Entry Level,Mumbai,"r, machine learning, powerbi, google colab, excel",Internship,Remote,6-34 LPA,2024-11-02,6.0,34.0
Junior Data Analyst,Beasley Plc,Entry Level,Hyderabad,"tableau, r, google cloud, excel",Internship,Remote,15-21 LPA,2025-08-12,15.0,21.0
Junior Data Analyst,Long Inc,Entry Level,Chennai,"machine learning, tableau, google cloud, powerbi, google colab",Part-Time,Remote,13-24 LPA,2025-04-16,13.0,24.0
Junior Data Analyst,"Ryan, Montgomery And Crosby",Mid Level,New Delhi,"powerbi, powerbi, excel, tableau, python, google colab",Internship,On-Site,6-21 LPA,2024-09-09,6.0,21.0
Junior Data Analyst,Wallace Ltd,Mid Level,Bangalore,"google colab, machine learning, powerbi, sql",Full-Time,Remote,14-26 LPA,2025-05-23,14.0,26.0
Data Analytics Specialist,Wright-Shaw,Entry Level,Hyderabad,"powerbi, powerbi, google colab, tableau",Part-Time,On-Site,8-32 LPA,2024-10-18,8.0,32.0
Senior Data Analyst,Russell And Sons,Senior Level,Bangalore,"python, sql, powerbi, google cloud, machine learning, google colab",Full-Time,Remote,8-20 LPA,2025-04-24,8.0,20.0
Data Analytics Specialist,Beltran And Sons,Entry Level,Kolkata,"powerbi, python, powerbi, tableau, google cloud",Internship,Remote,8-17 LPA,2024-12-12,8.0,17.0
Data Analytics Specialist,Hill-Mejia,Entry Level,Kolkata,"r, python, google cloud, powerbi, machine learning",Contract,On-Site,11-34 LPA,2024-12-03,11.0,34.0
Senior Data Analyst,Zuniga-Ross,Internship,Pune,"r, powerbi, machine learning, google cloud, powerbi",Part-Time,Remote,9-21 LPA,2024-12-04,9.0,21.0
Junior Data Analyst,"Villarreal, Zamora And Brooks",Senior Level,Kolkata,"google cloud, sql, excel",Contract,On-Site,7-17 LPA,2024-12-26,7.0,17.0
Data Analytics Specialist,Gonzalez Llc,Entry Level,Chennai,"python, powerbi, powerbi, sql, machine learning",Contract,Hybrid,9-25 LPA,2024-11-07,9.0,25.0
Data Analyst,Williams Ltd,Internship,Mumbai,"powerbi, google colab, powerbi, machine learning, sql, google cloud",Full-Time,On-Site,14-21 LPA,2025-06-15,14.0,21.0
Data Analytics Specialist,Miller-Williams,Mid Level,Hyderabad,"google colab, sql, r, google cloud, powerbi, tableau",Internship,Hybrid,9-26 LPA,2025-04-11,9.0,26.0
Senior Data Analyst,Donovan-Valenzuela,Mid Level,Mumbai,"tableau, machine learning, r, powerbi",Part-Time,Remote,14-17 LPA,2025-04-29,14.0,17.0
Junior Data Analyst,White-Jordan,Mid Level,Kolkata,"machine learning, google cloud, powerbi, tableau",Full-Time,On-Site,3-30 LPA,2024-09-16,3.0,30.0
Senior Data Analyst,"Stevens, Thomas And Rice",Mid Level,New Delhi,"machine learning, powerbi, python, tableau, powerbi",Internship,Hybrid,7-16 LPA,2024-09-04,7.0,16.0
Data Analytics Specialist,Allen Group,Mid Level,New Delhi,"google cloud, powerbi, powerbi",Contract,On-Site,15-24 LPA,2024-10-11,15.0,24.0
Junior Data Analyst,"Stephens, Ortiz And Cross",Senior Level,New Delhi,"powerbi, excel, google cloud, r, powerbi, powerbi",Contract,On-Site,7-24 LPA,2025-08-11,7.0,24.0
Senior Data Analyst,"Porter, Velasquez And Walter",Senior Level,Remote,"tableau, powerbi, r, machine learning, powerbi, google cloud",Full-Time,Hybrid,8-24 LPA,2024-09-30,8.0,24.0
Data Analytics Specialist,"Cooke, Bernard And Durham",Entry Level,Kolkata,"r, powerbi, google colab, google cloud",Full-Time,Remote,14-17 LPA,2025-04-20,14.0,17.0
Data Analyst,"Schwartz, Romero And Garrett",Senior Level,Chennai,"google cloud, machine learning, python, r, powerbi, tableau",Internship,On-Site,6-20 LPA,2024-10-24,6.0,20.0
Junior Data Analyst,Johnson Plc,Internship,Kolkata,"tableau, powerbi, r",Internship,Remote,3-24 LPA,2024-10-18,3.0,24.0
Data Analytics Specialist,Mcclain-Phillips,Entry Level,Hyderabad,"python, powerbi, google colab",Part-Time,Remote,14-26 LPA,2025-07-27,14.0,26.0
Data Analytics Specialist,Marshall-Martinez,Mid Level,Hyderabad,"powerbi, google colab, google cloud, sql",Internship,Remote,7-31 LPA,2025-06-18,7.0,31.0
Data Analytics Specialist,Wallace-Garcia,Internship,Pune,"sql, r, google colab, excel, python",Part-Time,Hybrid,12-25 LPA,2025-01-14,12.0,25.0
Junior Data Analyst,Potts Ltd,Internship,New Delhi,"python, google colab, r",Contract,Remote,7-20 LPA,2025-01-18,7.0,20.0
Data Analytics Specialist,Roberts-Perry,Mid Level,Kolkata,"python, google colab, tableau",Contract,On-Site,11-16 LPA,2025-08-24,11.0,16.0
Data Analytics Specialist,"Drake, Gregory And Bradford",Entry Level,Pune,"python, tableau, google colab",Internship,Remote,10-19 LPA,2025-08-17,10.0,19.0
Senior Data Analyst,"Higgins, Walker And Johnston",Senior Level,Chennai,"python, google colab, powerbi, machine learning, excel, powerbi",Contract,On-Site,3-16 LPA,2025-07-22,3.0,16.0
Data Analytics Specialist,Poole-Lee,Entry Level,Kolkata,"google colab, powerbi, tableau, google cloud, machine learning",Contract,On-Site,8-29 LPA,2025-08-07,8.0,29.0
Junior Data Analyst,"Woods, Guzman And Arnold",Internship,Mumbai,"google cloud, python, excel, tableau, powerbi, google colab",Internship,On-Site,4-17 LPA,2025-05-01,4.0,17.0
Data Analytics Specialist,Carpenter-Simmons,Entry Level,Bangalore,"machine learning, google colab, sql, excel, powerbi, r",Internship,On-Site,15-27 LPA,2024-12-06,15.0,27.0
Data Analytics Specialist,Ramsey Llc,Mid Level,New Delhi,"tableau, google cloud, python, sql, machine learning, powerbi",Full-Time,Remote,7-35 LPA,2025-08-12,7.0,35.0
Junior Data Analyst,Rose Inc,Senior Level,Kolkata,"machine learning, tableau, excel",Full-Time,On-Site,14-35 LPA,2025-04-13,14.0,35.0
Data Analytics Specialist,"Walls, Andrews And Nguyen",Entry Level,Hyderabad,"powerbi, machine learning, tableau, google cloud, excel",Part-Time,Hybrid,7-19 LPA,2025-03-02,7.0,19.0
Junior Data Analyst,Green-Pruitt,Entry Level,Chennai,"excel, powerbi, r",Contract,Remote,7-20 LPA,2025-01-15,7.0,20.0
Data Analyst,Cooper Llc,Internship,Kolkata,"r, powerbi, python, sql, google colab, tableau",Internship,Hybrid,11-30 LPA,2025-04-15,11.0,30.0
Junior Data Analyst,"Harrell, Vance And Brown",Entry Level,Kolkata,"sql, excel, google colab, python, powerbi",Full-Time,Remote,13-23 LPA,2024-11-05,13.0,23.0
Data Analytics Specialist,Riley-Lopez,Senior Level,Hyderabad,"tableau, powerbi, excel",Internship,Remote,12-17 LPA,2025-04-25,12.0,17.0
Data Analyst,Garcia-Perry,Entry Level,New Delhi,"google colab, sql, powerbi, python, tableau",Contract,Remote,14-18 LPA,2025-02-19,14.0,18.0
Data Analytics Specialist,Rollins Plc,Senior Level,Chennai,"sql, excel, google colab, r, python",Contract,Remote,13-22 LPA,2025-05-30,13.0,22.0
Junior Data Analyst,"Gonzalez, Gallegos And Davis",Entry Level,Kolkata,"tableau, machine learning, google cloud",Contract,Remote,7-33 LPA,2025-04-27,7.0,33.0
Senior Data Analyst,"Harris, Terry And Allen",Internship,Bangalore,"machine learning, sql, python, google cloud, google colab, excel",Internship,Hybrid,4-32 LPA,2025-04-16,4.0,32.0
Junior Data Analyst,"Stephens, Mack And Roman",Entry Level,Mumbai,"python, powerbi, sql, google colab, powerbi",Full-Time,On-Site,14-16 LPA,2024-10-26,14.0,16.0
Junior Data Analyst,Doyle-Cooper,Entry Level,Chennai,"r, excel, sql, google cloud, powerbi, machine learning",Internship,On-Site,10-33 LPA,2025-08-31,10.0,33.0
Data Analyst,Brown Ltd,Internship,Remote,"tableau, python, google colab, powerbi",Contract,On-Site,7-27 LPA,2025-03-26,7.0,27.0
Junior Data Analyst,Bennett Plc,Entry Level,Bangalore,"machine learning, python, tableau, google cloud",Contract,Hybrid,15-23 LPA,2025-05-12,15.0,23.0
Senior Data Analyst,Franklin Group,Senior Level,Kolkata,"machine learning, powerbi, powerbi, excel",Full-Time,Hybrid,5-23 LPA,2025-07-29,5.0,23.0
Junior Data Analyst,"Myers, Miller And Christensen",Senior Level,Chennai,"tableau, r, python",Internship,Remote,11-33 LPA,2024-09-06,11.0,33.0
Junior Data Analyst,"Petersen, Dixon And Young",Internship,Pune,"powerbi, machine learning, excel, python, google cloud",Internship,On-Site,4-29 LPA,2024-12-16,4.0,29.0
Junior Data Analyst,Brown And Sons,Entry Level,New Delhi,"powerbi, python, google colab, tableau",Full-Time,On-Site,10-34 LPA,2025-07-01,10.0,34.0
Data Analyst,Miller Ltd,Mid Level,Kolkata,"python, powerbi, machine learning, r, excel",Part-Time,On-Site,10-25 LPA,2025-08-19,10.0,25.0
Data Analytics Specialist,Williams Ltd,Internship,Pune,"r, powerbi, google colab, tableau",Internship,Remote,8-27 LPA,2025-02-01,8.0,27.0
Data Analytics Specialist,"Newton, Wilson And Chapman",Mid Level,Pune,"powerbi, google cloud, r, sql, powerbi, tableau",Full-Time,On-Site,12-24 LPA,2025-02-09,12.0,24.0
Junior Data Analyst,"Scott, Cannon And Edwards",Mid Level,Kolkata,"sql, python, powerbi, google cloud, excel",Part-Time,Hybrid,9-30 LPA,2025-07-09,9.0,30.0
Data Analyst,Alexander-Mullen,Internship,Bangalore,"excel, python, google colab, google cloud, sql",Internship,Hybrid,15-30 LPA,2025-03-17,15.0,30.0
Senior Data Analyst,"Stephens, King And Krueger",Senior Level,Bangalore,"r, machine learning, sql, google cloud, powerbi",Full-Time,Hybrid,8-20 LPA,2025-05-24,8.0,20.0
Data Analyst,Chavez-Lewis,Internship,Hyderabad,"machine learning, python, tableau",Full-Time,Hybrid,15-29 LPA,2025-04-28,15.0,29.0
Senior Data Analyst,Goodman-Valdez,Mid Level,Pune,"excel, tableau, powerbi, google cloud",Full-Time,On-Site,10-25 LPA,2025-04-19,10.0,25.0
Data Analyst,Rodriguez-Bell,Entry Level,Chennai,"r, machine learning, powerbi",Contract,Hybrid,7-19 LPA,2025-02-20,7.0,19.0
Data Analytics Specialist,Sosa-Wilson,Mid Level,Pune,"r, python, google colab, powerbi, powerbi",Part-Time,Remote,9-28 LPA,2025-05-02,9.0,28.0
Data Analyst,Solomon-Kelley,Mid Level,Pune,"google cloud, sql, powerbi, powerbi",Contract,On-Site,6-34 LPA,2025-08-01,6.0,34.0
Senior Data Analyst,"Mclaughlin, Hickman And Brown",Senior Level,Mumbai,"powerbi, powerbi, tableau",Part-Time,Remote,6-30 LPA,2025-01-02,6.0,30.0
Data Analyst,"Ward, Ruiz And Lambert",Senior Level,Remote,"sql, r, powerbi, machine learning, google colab",Internship,Hybrid,4-30 LPA,2025-08-30,4.0,30.0
Senior Data Analyst,Ho-Montoya,Internship,Chennai,"google cloud, r, tableau",Internship,Hybrid,12-35 LPA,2024-10-10,12.0,35.0
Data Analyst,"Wilkerson, Rivas And Sherman",Internship,Bangalore,"google cloud, r, python, machine learning",Part-Time,On-Site,12-28 LPA,2025-05-22,12.0,28.0
Junior Data Analyst,Stout-Davidson,Mid Level,Chennai,"r, excel, python, google cloud, google colab",Internship,On-Site,11-18 LPA,2025-06-07,11.0,18.0
Junior Data Analyst,"Acevedo, Montgomery And Hayes",Mid Level,Chennai,"sql, google cloud, powerbi, python, powerbi",Contract,Hybrid,11-20 LPA,2025-06-20,11.0,20.0
Senior Data Analyst,"Wood, Brown And Little",Senior Level,Pune,"excel, google colab, powerbi, powerbi, machine learning, tableau",Part-Time,On-Site,11-22 LPA,2024-12-10,11.0,22.0
Data Analytics Specialist,Moore Plc,Mid Level,Mumbai,"google colab, tableau, powerbi, powerbi, sql, google cloud",Part-Time,Remote,6-28 LPA,2025-06-26,6.0,28.0
Data Analyst,"Ellis, Ray And Coleman",Internship,Kolkata,"excel, powerbi, python, google cloud, sql, powerbi",Contract,On-Site,10-29 LPA,2025-01-20,10.0,29.0
Junior Data Analyst,Vargas Inc,Entry Level,Pune,"excel, machine learning, python, tableau, powerbi",Part-Time,Remote,15-21 LPA,2025-01-01,15.0,21.0
Data Analytics Specialist,Keller Group,Entry Level,Pune,"sql, powerbi, tableau, machine learning, powerbi, python",Part-Time,On-Site,7-21 LPA,2025-03-28,7.0,21.0
Data Analytics Specialist,Schultz-Collins,Entry Level,Remote,"sql, python, r",Part-Time,Hybrid,14-18 LPA,2025-04-12,14.0,18.0
Senior Data Analyst,"Sullivan, Blake And Brennan",Internship,Kolkata,"powerbi, powerbi, excel, google colab",Internship,On-Site,5-30 LPA,2025-03-04,5.0,30.0
Data Analytics Specialist,Mendez-Ray,Senior Level,Kolkata,"machine learning, google colab, google cloud, python",Contract,Hybrid,3-34 LPA,2024-11-02,3.0,34.0
Data Analyst,Hamilton-Williams,Mid Level,Hyderabad,"python, excel, google cloud, powerbi, powerbi, tableau",Internship,Hybrid,4-24 LPA,2025-03-15,4.0,24.0
Junior Data Analyst,Obrien Group,Senior Level,Hyderabad,"powerbi, r, tableau, powerbi",Internship,Hybrid,6-33 LPA,2025-05-26,6.0,33.0
Data Analyst,"Anderson, Morse And Petersen",Entry Level,Pune,"powerbi, powerbi, excel, sql, google colab",Part-Time,On-Site,4-19 LPA,2025-01-11,4.0,19.0
Data Analyst,Price-Holden,Internship,Chennai,"google colab, powerbi, google cloud, sql",Contract,Hybrid,9-25 LPA,2025-01-12,9.0,25.0
Data Analytics Specialist,Fuller Llc,Mid Level,Pune,"google colab, google cloud, excel, r",Part-Time,Remote,9-34 LPA,2024-09-04,9.0,34.0
Senior Data Analyst,Allen-Payne,Mid Level,Mumbai,"tableau, powerbi, google colab, powerbi, powerbi",Part-Time,Remote,9-23 LPA,2024-12-20,9.0,23.0
Junior Data Analyst,"Dean, Hunt And Harrison",Entry Level,Hyderabad,"machine learning, google colab, powerbi",Contract,Remote,7-26 LPA,2025-04-01,7.0,26.0
Junior Data Analyst,Griffin And Sons,Internship,Hyderabad,"powerbi, excel, google colab",Contract,Hybrid,11-22 LPA,2025-04-03,11.0,22.0
Data Analyst,"Bishop, Cruz And Roach",Internship,Kolkata,"powerbi, google cloud, google colab, machine learning",Contract,On-Site,13-26 LPA,2024-11-14,13.0,26.0
Senior Data Analyst,Mccarty Inc,Entry Level,Kolkata,"python, google cloud, machine learning, sql, tableau",Contract,On-Site,11-16 LPA,2025-01-11,11.0,16.0
Data Analytics Specialist,"Morales, Thompson And Medina",Mid Level,Pune,"google colab, python, r, tableau",Internship,Remote,6-35 LPA,2025-03-13,6.0,35.0
Data Analytics Specialist,Gray Group,Entry Level,Mumbai,"powerbi, python, machine learning, r",Internship,On-Site,13-19 LPA,2025-05-07,13.0,19.0
Data Analyst,Wallace Plc,Internship,Bangalore,"python, excel, google cloud, sql, powerbi",Internship,Remote,9-32 LPA,2024-09-19,9.0,32.0
Junior Data Analyst,Kelly Llc,Internship,New Delhi,"sql, powerbi, google colab",Contract,On-Site,8-34 LPA,2025-06-13,8.0,34.0
Junior Data Analyst,"Campos, Turner And Stewart",Internship,Chennai,"google colab, powerbi, sql",Part-Time,Hybrid,11-26 LPA,2025-01-18,11.0,26.0
Senior Data Analyst,Jones-Baker,Senior Level,New Delhi,"r, google colab, powerbi",Full-Time,On-Site,3-31 LPA,2025-04-15,3.0,31.0
Data Analyst,Daniel-Jacobs,Entry Level,Pune,"powerbi, python, sql, excel",Part-Time,On-Site,11-28 LPA,2025-04-26,11.0,28.0
Data Analytics Specialist,"Palmer, Robinson And Brown",Entry Level,Kolkata,"excel, r, machine learning, sql, tableau",Part-Time,On-Site,14-21 LPA,2025-02-03,14.0,21.0
Junior Data Analyst,"Morris, Gray And Williams",Senior Level,New Delhi,"google colab, excel, r, machine learning, tableau, google cloud",Contract,Remote,14-18 LPA,2025-07-10,14.0,18.0
Data Analyst,Ferguson Group,Internship,Remote,"tableau, r, google colab",Contract,Remote,9-28 LPA,2025-03-21,9.0,28.0
Data Analyst,Curtis Plc,Internship,Hyderabad,"google colab, sql, python, powerbi",Internship,Remote,3-23 LPA,2025-06-17,3.0,23.0
Data Analyst,Faulkner-Barrett,Mid Level,Mumbai,"powerbi, powerbi, python",Full-Time,Hybrid,8-27 LPA,2025-06-04,8.0,27.0
Senior Data Analyst,"Holland, Boyle And Henry",Internship,Kolkata,"excel, powerbi, sql, powerbi",Part-Time,On-Site,13-27 LPA,2025-02-20,13.0,27.0
Senior Data Analyst,Allen Group,Senior Level,Mumbai,"machine learning, excel, powerbi",Part-Time,Hybrid,9-23 LPA,2024-12-29,9.0,23.0
Junior Data Analyst,"Travis, Salas And Patterson",Entry Level,Remote,"sql, powerbi, google colab",Part-Time,On-Site,9-32 LPA,2024-10-17,9.0,32.0
Data Analyst,Reid-Hayes,Internship,Pune,"powerbi, r, tableau, python, powerbi, excel",Internship,Remote,5-25 LPA,2024-09-15,5.0,25.0
Junior Data Analyst,Stevens-Walters,Senior Level,Hyderabad,"tableau, powerbi, google cloud, powerbi",Part-Time,Hybrid,7-17 LPA,2024-11-17,7.0,17.0
Junior Data Analyst,"Gonzales, Kim And Krause",Entry Level,Mumbai,"google cloud, google colab, powerbi, python, r",Internship,Hybrid,5-24 LPA,2024-12-08,5.0,24.0
Data Analytics Specialist,Mann-House,Mid Level,Hyderabad,"excel, machine learning, python, r, powerbi",Full-Time,Hybrid,8-30 LPA,2024-09-28,8.0,30.0
Data Analytics Specialist,Walker-Wallace,Mid Level,Chennai,"r, powerbi, google cloud, sql",Part-Time,Hybrid,6-31 LPA,2025-02-18,6.0,31.0
Data Analyst,Kim Llc,Mid Level,New Delhi,"powerbi, powerbi, google cloud, sql, python, machine learning",Internship,Hybrid,7-27 LPA,2025-06-28,7.0,27.0
Junior Data Analyst,"Liu, Meyer And Collins",Mid Level,Remote,"google cloud, powerbi, powerbi",Contract,Hybrid,3-22 LPA,2024-12-06,3.0,22.0
Junior Data Analyst,Diaz-Howell,Mid Level,Pune,"python, tableau, google cloud, powerbi, powerbi",Full-Time,Remote,3-20 LPA,2024-11-07,3.0,20.0
Data Analytics Specialist,Hobbs-Daniel,Entry Level,Bangalore,"tableau, excel, google cloud, python",Internship,On-Site,4-23 LPA,2025-04-30,4.0,23.0
Senior Data Analyst,Adams-Santiago,Mid Level,Remote,"google cloud, powerbi, machine learning, powerbi",Internship,On-Site,10-26 LPA,2025-05-13,10.0,26.0
Data Analyst,"Rice, Livingston And Bradford",Internship,Remote,"r, tableau, excel",Internship,On-Site,5-25 LPA,2025-03-19,5.0,25.0
Junior Data Analyst,Moore-Jennings,Entry Level,Bangalore,"powerbi, r, python, powerbi",Part-Time,Remote,10-24 LPA,2025-02-13,10.0,24.0
Junior Data Analyst,"James, Orr And Moore",Internship,Mumbai,"machine learning, excel, powerbi, google colab",Contract,Hybrid,6-35 LPA,2024-09-08,6.0,35.0
Senior Data Analyst,Wright-Colon,Senior Level,Pune,"machine learning, excel, google colab, powerbi, google cloud",Contract,Remote,5-23 LPA,2025-07-01,5.0,23.0
Junior Data Analyst,Eaton-Herrera,Senior Level,Mumbai,"google cloud, python, powerbi",Contract,Hybrid,14-30 LPA,2024-12-22,14.0,30.0
Data Analytics Specialist,Johnson Inc,Senior Level,Pune,"machine learning, sql, powerbi",Internship,Hybrid,5-33 LPA,2024-10-29,5.0,33.0
Junior Data Analyst,Allen-Ruiz,Internship,Pune,"python, powerbi, r, machine learning",Full-Time,On-Site,6-30 LPA,2024-09-21,6.0,30.0
Data Analyst,Garcia-May,Internship,Mumbai,"machine learning, powerbi, tableau, excel",Internship,Remote,10-27 LPA,2025-06-21,10.0,27.0
Senior Data Analyst,"Chan, Villa And Preston",Internship,Bangalore,"python, sql, tableau, powerbi",Contract,Hybrid,15-16 LPA,2024-10-18,15.0,16.0
Junior Data Analyst,"Whitney, Sanders And Avery",Internship,Remote,"excel, powerbi, r, google colab, google cloud, tableau",Full-Time,Hybrid,15-35 LPA,2025-05-16,15.0,35.0
Data Analyst,"Davis, Lewis And Warren",Internship,Mumbai,"excel, powerbi, python, powerbi, sql",Contract,Hybrid,11-31 LPA,2025-02-23,11.0,31.0
Junior Data Analyst,Olson-Blake,Entry Level,Hyderabad,"machine learning, powerbi, tableau, excel, sql",Full-Time,Hybrid,6-20 LPA,2025-03-20,6.0,20.0
Junior Data Analyst,Brennan-Nguyen,Entry Level,Mumbai,"python, google colab, excel, sql",Contract,Remote,8-34 LPA,2025-05-30,8.0,34.0
Data Analytics Specialist,Ward-Marquez,Senior Level,Chennai,"powerbi, machine learning, python, google colab, google cloud, powerbi",Contract,Hybrid,5-27 LPA,2024-11-27,5.0,27.0
Data Analyst,"Wall, Kelly And Sparks",Internship,Kolkata,"python, tableau, google colab, powerbi, machine learning, sql",Internship,On-Site,4-26 LPA,2025-06-14,4.0,26.0
Junior Data Analyst,Daniels Llc,Senior Level,Mumbai,"powerbi, excel, google colab",Internship,Remote,9-26 LPA,2025-08-15,9.0,26.0
Data Analyst,Green-Davila,Senior Level,Remote,"tableau, sql, google colab, google cloud",Contract,Remote,4-27 LPA,2025-06-20,4.0,27.0
Data Analytics Specialist,Reid Inc,Entry Level,Bangalore,"python, tableau, excel, powerbi, google colab",Internship,On-Site,3-31 LPA,2024-11-29,3.0,31.0
Data Analyst,Foley And Sons,Internship,Mumbai,"excel, python, r, sql",Full-Time,Hybrid,14-16 LPA,2024-11-11,14.0,16.0
Junior Data Analyst,Martin-Hernandez,Entry Level,Mumbai,"powerbi, sql, excel, google cloud, powerbi",Contract,Hybrid,8-29 LPA,2024-12-05,8.0,29.0
Junior Data Analyst,"Vasquez, Scott And Nguyen",Mid Level,Pune,"google cloud, powerbi, sql, google colab",Part-Time,Hybrid,5-23 LPA,2024-09-25,5.0,23.0
Data Analytics Specialist,Johnson-Moore,Entry Level,Mumbai,"sql, powerbi, powerbi, machine learning, r, powerbi",Full-Time,On-Site,8-34 LPA,2025-06-07,8.0,34.0
Junior Data Analyst,"Wilson, Parker And Price",Entry Level,Chennai,"powerbi, sql, google cloud, r, powerbi",Contract,Remote,8-19 LPA,2025-02-15,8.0,19.0
Junior Data Analyst,Morris Group,Entry Level,Bangalore,"python, google cloud, powerbi, excel, machine learning, powerbi",Contract,Hybrid,12-31 LPA,2025-06-25,12.0,31.0
Data Analytics Specialist,Mason-Travis,Mid Level,New Delhi,"powerbi, machine learning, excel, r, powerbi",Internship,Remote,5-17 LPA,2025-01-11,5.0,17.0
Junior Data Analyst,Williams-Stanley,Internship,Bangalore,"sql, machine learning, python, powerbi, powerbi",Contract,Hybrid,5-20 LPA,2025-05-14,5.0,20.0
Junior Data Analyst,Black And Sons,Mid Level,Kolkata,"python, r, google cloud, excel, powerbi, powerbi",Full-Time,Remote,8-33 LPA,2025-05-18,8.0,33.0
Junior Data Analyst,Brown-Young,Senior Level,Mumbai,"python, sql, tableau",Part-Time,Hybrid,14-24 LPA,2025-05-29,14.0,24.0
Senior Data Analyst,Allen Plc,Mid Level,Mumbai,"machine learning, powerbi, google cloud, google colab",Part-Time,On-Site,10-35 LPA,2025-05-15,10.0,35.0
Senior Data Analyst,Hartman Plc,Entry Level,Hyderabad,"machine learning, tableau, powerbi, google cloud, r",Contract,Remote,10-22 LPA,2025-07-03,10.0,22.0
Data Analytics Specialist,Giles-Gibson,Internship,Kolkata,"excel, powerbi, powerbi, r, sql, machine learning",Contract,On-Site,5-17 LPA,2025-07-04,5.0,17.0
Junior Data Analyst,"Huynh, Cunningham And Williams",Mid Level,Hyderabad,"powerbi, tableau, powerbi, machine learning, sql",Contract,On-Site,12-28 LPA,2024-09-07,12.0,28.0
Junior Data Analyst,Perez Inc,Internship,Hyderabad,"tableau, powerbi, powerbi, google cloud, excel",Contract,Hybrid,13-16 LPA,2025-07-19,13.0,16.0
Data Analyst,Obrien Group,Internship,Remote,"powerbi, google colab, sql, google cloud",Part-Time,On-Site,11-17 LPA,2024-12-08,11.0,17.0
Junior Data Analyst,"Phillips, Harding And Martinez",Internship,Hyderabad,"powerbi, sql, powerbi, r, tableau",Internship,On-Site,14-27 LPA,2025-01-01,14.0,27.0
